1	1088.47
2	1087.09
3	1079.06
4	1068.98
5	1062.79
6	1064.2
7	1072.34
8	1082.39
	*
1	1076.92
2	1086.32
3	1102.95
4	1116.99
5	1120.42
6	1111.31
7	1094.8
8	1080.47
	*
1	1069.78
2	1080.54
3	1082.43
4	1074.38
5	1060.96
6	1049.99
7	1048.04
8	1056.3
	*
1	1085.54
2	1067.35
3	1047.31
4	1037.35
5	1043.59
6	1062.18
7	1081.94
8	1091.5
	*
1	1054.04
2	1034.9
3	1026.25
4	1033.41
5	1051.96
6	1070.79
7	1079.08
8	1072.23
	*
1	1083.68
2	1076.63
3	1068.33
4	1063.66
5	1065.41
6	1072.53
7	1080.8
8	1085.4
	*
1	1072.45
2	1061.96
3	1052.02
4	1048.55
5	1053.63
6	1064.2
7	1074.03
8	1077.42
	*
1	1098.83
2	1093.86
3	1086.99
4	1082.23
5	1082.42
6	1087.44
7	1094.31
8	1099.01
	*
1	1068.23
2	1063.83
3	1057.3
4	1052.45
5	1052.17
6	1056.62
7	1063.16
8	1067.95
	*
1	1076.09
2	1081.37
3	1087.29
4	1090.38
5	1088.88
6	1083.63
7	1077.69
8	1074.56
	*
1	1090.11
2	1076.34
3	1054.37
4	1036.99
5	1034.77
6	1049.09
7	1071.16
8	1088
	*
1	1068.08
2	1064.35
3	1065.45
4	1070.74
5	1077.08
6	1080.78
7	1079.69
8	1074.44
	*
1	1056.19
2	1045.12
3	1050.79
4	1069.66
5	1090.38
6	1100.99
7	1095.59
8	1077.16
	*
1	1061.04
2	1046.23
3	1044.46
4	1056.81
5	1075.76
6	1090.17
7	1091.87
8	1079.92
	*
1	1111.35
2	1091.18
3	1062.71
4	1042.61
5	1043.33
6	1064.41
7	1092.84
8	1112.03
	*
1	1087.04
2	1075.22
3	1059.66
4	1049.5
5	1050.89
6	1062.98
7	1078.5
8	1088.39
	*
1	1078.36
2	1076.93
3	1084.33
4	1096.12
5	1105.37
6	1106.77
7	1099.52
8	1087.76
	*
1	1075.74
2	1077.32
3	1079.32
4	1080.58
5	1080.36
6	1078.79
7	1076.79
8	1075.52
	*
1	1090.61
2	1080.72
3	1083.86
4	1098.09
5	1114.88
6	1124.46
7	1121.44
8	1107.51
	*
1	1074.96
2	1089.6
3	1097.58
4	1094.38
5	1081.8
6	1067.05
7	1058.84
8	1062.15
	*
1	1080.81
2	1096.44
3	1107.62
4	1107.99
5	1097.34
6	1081.72
7	1070.27
8	1069.89
	*
1	1055.13
2	1070.35
3	1083.83
4	1087.82
5	1080.1
6	1065.01
7	1051.3
8	1047.16
	*
1	1078.59
2	1071.89
3	1060.2
4	1050.31
5	1048.14
6	1054.98
7	1066.74
8	1076.47
	*
1	1111.65
2	1091.53
3	1063.93
4	1045.08
5	1046.62
6	1067.6
7	1095.09
8	1113.1
	*
1	1074.2
2	1089.22
3	1099.37
4	1098.88
5	1088.04
6	1073.01
7	1062.6
8	1063.1
	*
1	1064.65
2	1053.22
3	1046.62
4	1048.81
5	1058.47
6	1069.83
7	1076.3
8	1074.16
	*
1	1073.2
2	1081.7
3	1088.88
4	1090.58
5	1085.84
6	1077.37
7	1070.12
8	1068.39
	*
1	1066.63
2	1053.6
3	1049.02
4	1055.66
5	1069.51
6	1082.34
7	1086.78
8	1080.33
	*
1	1044.37
2	1033.88
3	1035.69
4	1048.68
5	1065.04
6	1075.23
7	1073.49
8	1060.79
	*
1	1052.63
2	1064.9
3	1082.29
4	1094.61
5	1094.88
6	1082.95
7	1065.57
8	1052.91
	*
1	1083.56
2	1055.34
3	1042.01
4	1051.94
5	1078.86
6	1106.48
7	1119.05
8	1109.72
	*
1	1075.29
2	1085.1
3	1085.37
4	1075.94
5	1062.19
6	1052.15
7	1051.87
8	1061.52
	*
1	1044.39
2	1042.93
3	1042.09
4	1042.36
5	1043.59
6	1045.05
7	1045.89
8	1045.62
	*
1	1072.33
2	1065.52
3	1060.15
4	1059.38
5	1063.69
6	1070.51
7	1075.83
8	1076.58
	*
1	1051.41
2	1052.92
3	1060.18
4	1068.87
5	1073.93
6	1072.45
7	1065.28
8	1056.55
	*
1	1053.07
2	1029.38
3	1034.12
4	1064.21
5	1100.94
6	1123.12
7	1118.76
8	1090.17
	*
1	1045.86
2	1050.14
3	1063.85
4	1078.78
5	1086.29
6	1082.14
7	1068.67
8	1053.6
	*
1	1104.78
2	1079.1
3	1054.31
4	1045.38
5	1057.94
6	1084.12
7	1108.24
8	1116.66
	*
1	1029.26
2	1040.1
3	1057.39
4	1070.95
5	1073.07
6	1062.57
7	1045.36
8	1031.47
	*
1	1055.6
2	1063.37
3	1075.16
4	1084.06
5	1084.96
6	1077.34
7	1065.57
8	1056.52
	*
1	1075.32
2	1093.16
3	1094.12
4	1077.67
5	1052.97
6	1034.44
7	1033.42
8	1050.56
	*
1	1036.81
2	1043.91
3	1061.33
4	1078.67
5	1085.97
6	1079.15
7	1062.01
8	1044.4
	*
1	1131.18
2	1107.48
3	1072.25
4	1046.02
5	1045.17
6	1070.25
7	1105.55
8	1130.4
	*
1	1078.68
2	1082.6
3	1087.4
4	1090.29
5	1089.57
6	1085.68
7	1080.87
8	1077.96
	*
1	1086.98
2	1089.57
3	1082.4
4	1069.54
5	1058.48
6	1055.81
7	1063.16
8	1076.09
	*
1	1072.21
2	1070.99
3	1071.04
4	1072.34
5	1074.12
6	1075.34
7	1075.28
8	1073.99
	*
1	1110.59
2	1118.36
3	1099.39
4	1063.87
5	1032.1
6	1023.68
7	1044.03
8	1080.2
	*
1	1073.31
2	1074.57
3	1068.63
4	1058.88
5	1051.02
6	1049.73
7	1055.78
8	1065.55
	*
1	1040.44
2	1042.24
3	1048.59
4	1055.73
5	1059.49
6	1057.72
7	1051.43
8	1044.26
	*
1	1064.98
2	1078.41
3	1084.32
4	1079.37
5	1066.35
6	1052.76
7	1046.68
8	1051.78
	*
1	1062.86
2	1069.64
3	1077.59
4	1082.08
5	1080.51
6	1073.8
7	1065.82
8	1061.27
	*
1	1088
2	1093.96
3	1088.02
4	1073.52
5	1058.82
6	1052.66
7	1058.8
8	1073.49
	*
1	1054.8
2	1046.23
3	1049.03
4	1061.49
5	1076.16
6	1084.49
7	1081.78
8	1069.55
	*
1	1061.02
2	1063.66
3	1065.78
4	1066.15
5	1064.56
6	1061.92
7	1059.79
8	1059.42
	*
1	1064.49
2	1042.05
3	1034.7
4	1047.03
5	1071.37
6	1093.2
7	1100.16
8	1088.43
	*
1	1087.37
2	1078.86
3	1068.46
4	1062.3
5	1064.07
6	1072.69
7	1083.05
8	1089.09
	*
1	1081.19
2	1098.58
3	1094.81
4	1071.93
5	1042.67
6	1024.34
7	1028.36
8	1052.19
	*
1	1076.96
2	1074.17
3	1069.35
4	1065.34
5	1064.49
6	1067.31
7	1072.13
8	1076.12
	*
1	1062.03
2	1055.55
3	1053.81
4	1057.86
5	1065.29
6	1071.71
7	1073.42
8	1069.43
	*
1	1069.43
2	1074.83
3	1077.93
4	1076.96
5	1072.46
6	1067.05
7	1063.91
8	1064.9
	*
1	1092.93
2	1085.77
3	1075.94
4	1069.21
5	1069.59
6	1076.86
7	1086.67
8	1093.3
	*
1	1073.86
2	1085.38
3	1087.4
4	1078.8
5	1064.44
6	1052.69
7	1050.6
8	1059.44
	*
1	1103.76
2	1085.25
3	1067.17
4	1060.34
5	1068.97
6	1087.76
7	1105.51
8	1112.06
	*
1	1035.23
2	1051.4
3	1063.58
4	1064.84
5	1054.49
6	1038.36
7	1025.88
8	1024.57
	*
1	1078.35
2	1076.72
3	1073.13
4	1069.68
5	1068.4
6	1070.05
7	1073.65
8	1077.08
	*
1	1033.52
2	1045.18
3	1064.54
4	1080.17
5	1083.2
6	1071.95
7	1052.73
8	1036.69
	*
1	1056.16
2	1047.71
